DISTRICT,IDENTIFIER
ACHHAM,ACH
ARGHAKHANCHI,ARG
BAGLUNG,BAG
BAITADI,BTD
BAJHANG,BJH
BAJURA,BJR
BANKE,BNK
BARA,BRA
BARDIYA,BRD
BHAKTAPUR,BKT
BHOJPUR,BJP
CHITAWAN,CTW
DADELDHURA,DDR
DAILEKH,DAI
DANG,DNG
DARCHULA,DRC
DHADING,DHA
DHANKUTA,DKT
DHANUSHA,DNS
DOLAKHA,DLK
DOLPA,DLP
DOTI,DOT
GORKHA,GOR
GULMI,GUL
HUMLA,HUM
ILAM,ILM
JAJARKOT,JJK
JHAPA,JHP
JUMLA,JUM
KAVREPALANCHOK,KVR
KAILALI,KLL
KALIKOT,KLK
KANCHANPUR,KNC
KAPILBASTU,KBT
KASKI,KSK
KATHMANDU,KTM
KHOTANG,KHO
LALITPUR,LTP
LAMJUNG,LMJ
MAHOTTARI,MHT
MAKAWANPUR,MKW
MANANG,MNG
MORANG,MOR
MUGU,MUG
MUSTANG,MUS
MYAGDI,MYG
NAWALPUR,NWP
NUWAKOT,NWK
OKHALDHUNGA,OKH
PALPA,PLP
PANCHTHAR,PHT
PARASI,PSI
PARBAT,PBT
PARSA,PSA
PYUTHAN,PYU
RAMECHHAP,RMC
RASUWA,RSW
RAUTAHAT,RAU
ROLPA,ROL
RUKUM EAST,RUE
RUKUM WEST,RUW
RUPANDEHI,RUP
SALYAN,SAL
SANKHUWASABHA,SKS
SAPTARI,SPT
SARLAHI,SRL
SINDHULI,SND
SINDHUPALCHOK,SDP
SIRAHA,SIR
SOLUKHUMBU,SOL
SUNSARI,SUN
SURKHET,SUR
SYANGJA,SNJ
TANAHU,TNH
TAPLEJUNG,TPJ
TERHATHUM,THT
UDAYAPUR,UDP
